time_s,rel_rate_x,rel_rate_y,rel_rate_z,rel_rate_dominant,rel_rate_magnitude,rel_angle_x,rel_angle_y,rel_angle_z,rel_angle_dominant,rel_angle_magnitude
0.0,0.0,0.5862,0.0,0.0,0.5862,0.015,-0.0328,-0.0122,-0.0122,0.0381
0.017059,0.0,0.5862,0.0,0.0,0.5862,0.015,-0.0228,-0.0122,-0.0122,0.0299
0.034,0.0,0.0,0.5903,0.5903,0.5903,0.015,-0.0228,-0.0022,-0.0022,0.0274
0.051003,-0.5881,0.5881,-0.5881,-0.5881,1.0187,0.005,-0.0128,-0.0122,-0.0122,0.0184
0.068002,0.0,0.0,0.5883,0.5883,0.5883,0.005,-0.0128,-0.0022,-0.0022,0.0139
0.085,0.0,0.0,0.0,0.0,0.0,0.005,-0.0128,-0.0022,-0.0022,0.0139
0.102002,0.0,0.5882,0.0,0.0,0.5882,0.005,-0.0028,-0.0022,-0.0022,0.0061
0.119,0.0,0.0,0.0,0.0,0.0,0.005,-0.0028,-0.0022,-0.0022,0.0061
0.136002,0.0,-0.0,0.0,0.0,0.0,0.005,-0.0028,-0.0022,-0.0022,0.0061
0.153001,-0.5883,0.0,-0.0,-0.0,0.5883,-0.005,-0.0028,-0.0022,-0.0022,0.0061
0.170061,0.0,0.5862,0.0,0.0,0.5862,-0.005,0.0072,-0.0022,-0.0022,0.0091
0.187002,0.0,0.0,0.5903,0.5903,0.5903,-0.005,0.0072,0.0078,0.0078,0.0117
0.204001,0.0,0.5883,0.0,0.0,0.5883,-0.005,0.0172,0.0078,0.0078,0.0195
0.221004,0.0,-0.5881,0.0,0.0,0.5881,-0.005,0.0072,0.0078,0.0078,0.0117
0.238004,0.0,0.5882,0.0,0.0,0.5882,-0.005,0.0172,0.0078,0.0078,0.0195
0.255002,-0.5883,0.0,0.0,0.0,0.5883,-0.015,0.0172,0.0078,0.0078,0.0241
0.272001,0.0,0.5883,-0.0,-0.0,0.5883,-0.015,0.0272,0.0078,0.0078,0.032
0.289004,0.0,0.0,0.0,0.0,0.0,-0.015,0.0272,0.0078,0.0078,0.032
0.306001,0.0,0.0,0.5883,0.5883,0.5883,-0.015,0.0272,0.0178,0.0178,0.0358
0.323001,0.0,0.0,-0.5882,-0.5882,0.5882,-0.015,0.0272,0.0078,0.0078,0.032
0.340003,0.0,0.5882,0.5882,0.5882,0.8318,-0.015,0.0372,0.0178,0.0178,0.0439
0.357002,0.0,0.0,0.0,0.0,0.0,-0.015,0.0372,0.0178,0.0178,0.0439
0.374002,0.0,0.0,-0.5882,-0.5882,0.5882,-0.015,0.0372,0.0078,0.0078,0.0409
0.391003,-0.5882,0.5882,0.5882,0.5882,1.0188,-0.025,0.0472,0.0178,0.0178,0.0563
0.408074,0.0,-0.5858,0.0,0.0,0.5858,-0.025,0.0372,0.0178,0.0178,0.0482
0.425003,0.0,0.5907,-0.0,-0.0,0.5907,-0.025,0.0472,0.0178,0.0178,0.0563
0.442002,0.0,0.0,0.0,0.0,0.0,-0.025,0.0472,0.0178,0.0178,0.0563
0.459001,0.0,0.0,0.5883,0.5883,0.5883,-0.025,0.0472,0.0278,0.0278,0.0602
0.476002,0.0,0.5882,-0.5882,-0.5882,0.8318,-0.025,0.0572,0.0178,0.0178,0.0649
0.493002,0.0,0.0,0.0,0.0,0.0,-0.025,0.0572,0.0178,0.0178,0.0649
0.510001,0.0,-0.5883,0.5883,0.5883,0.8319,-0.025,0.0472,0.0278,0.0278,0.0602
0.527059,-0.5862,0.5862,-0.5862,-0.5862,1.0154,-0.035,0.0572,0.0178,0.0178,0.0694
0.544,0.0,0.0,0.5903,0.5903,0.5903,-0.035,0.0572,0.0278,0.0278,0.0726
0.561003,0.0,0.0,0.0,0.0,0.0,-0.035,0.0572,0.0278,0.0278,0.0726
